Name,Status,District,Temperature - celcius,Precipitation (mm),Humidity (%),Approx. NDVI Value,Soil Moisture (%),Cloud Cover (%),Dew Point (°F),Evapotranspiration (mm/day),Solar Radiation (W/m²)
Abiramam,Town Panchayat,Ramanathapuram,33,900,78,0.65,22,45,64,4.0,540
Acharapakkam,Town Panchayat,Kanchipuram,31,800,72,0.62,25,50,64,4.0,550
Achipatti,Census Town,Coimbatore,34,700,74,0.60,23,42,63,4.2,530
Adaikkakuzhi,Census Town,Kanniyakumari,33,1000,80,0.67,21,55,64,4.1,535
Adikaratti,Town Panchayat,The Nilgiris,19,900,75,0.58,25,60,63,4.3,520
Adiramapattinam (Adirampattinam),Town Panchayat,Thanjavur,32,950,77,0.55,23,65,64,4.0,530
Adiyanuthu,Census Town,Dindigul,31,800,73,0.63,24,40,63,4.2,540
Aduthurai (Maruthuvakudi),Town Panchayat,Thanjavur,32,1200,76,0.65,28,47,64,4.1,535
Agaram,Town Panchayat,Dindigul,31,900,74,0.58,20,53,61,4.4,530
Agastheeswaram,Town Panchayat,Kanniyakumari,33,1200,79,0.72,22,70,63,4.3,545
Alagappapuram (Azhagappapuram),Town Panchayat,Kanniyakumari,31,950,75,0.60,25,66,64,4.2,530
Alamathi,Census Town,Thiruvallur,34,700,71,0.65,24,49,63,4.3,540
Alamelumangapuram,Census Town,Vellore,33,800,78,0.55,23,52,64,4.1,550
Alampalayam,Town Panchayat,Namakkal,19,750,73,0.62,21,45,63,4.2,545
Alandur,Municipality,Kanchipuram,32,800,74,0.60,23,57,63,4.3,530
Alanganallur,Town Panchayat,Madurai,31,800,75,0.66,25,50,64,4.4,550
Alangayam,Town Panchayat,Vellore,32,1000,72,0.68,26,48,64,4.1,535
Alangudi,Town Panchayat,Pudukkottai,31,850,77,0.64,24,51,63,4.2,540
Alangulam,Census Town,Virudhunagar,32,950,74,0.62,22,60,64,4.2,545
Alangulam,Town Panchayat,Tirunelveli,32,950,74,0.63,23,55,63,4.2,550
Alanthurai,Town Panchayat,Coimbatore,33,750,72,0.59,24,62,64,4.3,545
Alapakkam,Census Town,Kanchipuram,31,700,76,0.57,22,54,63,4.4,545
Allapuram,Town Panchayat,Vellore,35,850,73,0.60,24,46,63,4.2,530
Alur (Aloor),Town Panchayat,Kanniyakumari,33,800,78,0.67,27,58,61,4.3,520
Alwarkurichi,Town Panchayat,Tirunelveli,31,700,75,0.55,25,63,64,4.1,535
Alwarthirunagiri,Town Panchayat,Thoothukkudi,31,900,72,0.62,23,50,64,4.3,530
Amathur,Census Town,Virudhunagar,31,750,75,0.73,24,65,66,4.0,540
Ambasamudram,Municipality,Tirunelveli,31,1100,80,0.50,21,55,63,4.5,530
Ambattur,Municipality,Thiruvallur,31,1000,71,0.57,22,55,64,4.2,530
Ambur,Municipality,Vellore,31,1000,73,0.61,24,50,63,4.1,545
Ammainaickanur,Town Panchayat,Dindigul,31,750,70,0.66,21,45,61,4.0,535
Ammanur,Census Town,Vellore,31,850,72,0.63,22,52,64,4.1,540
Ammapattinam,Census Town,Pudukkottai,33,950,79,0.58,24,60,63,4.2,545
Ammapettai,Town Panchayat,Erode,32,900,76,0.62,23,48,63,4.1,545
Ammapettai,Town Panchayat,Thanjavur,32,900,76,0.64,22,49,61,4.1,530
Ammavarikuppam,Census Town,Thiruvallur,31,800,74,0.56,24,47,64,4.3,550
Ammoor,Town Panchayat,Vellore,31,1000,72,0.68,21,53,64,4.2,520
Anaimalai,Town Panchayat,Coimbatore,33,1100,73,0.62,22,65,63,4.0,535
Anaiyur,Municipality,Madurai,33,950,74,0.65,23,58,63,4.2,530
Anaiyur,Census Town,Virudhunagar,33,950,74,0.65,21,57,64,4.2,540
Anakaputhur,Municipality,Kanchipuram,33,750,72,0.59,25,50,63,4.1,545
Ananthapuram,Town Panchayat,Viluppuram,33,800,75,0.60,23,55,63,4.2,530
Andankoil East,Census Town,Karur,34,850,74,0.66,22,62,64,4.3,550
Andipalayam,Census Town,Tiruppur,33,700,73,0.65,23,48,63,4.0,530
Andipatti Jakkampatti,Town Panchayat,Theni,33,850,77,0.66,24,60,64,4.2,540
Anjugrammam (Anjugramam),Town Panchayat,Kanniyakumari,33,950,70,0.63,23,65,63,4.1,545
Annalagraharam,Census Town,Thanjavur,33,750,73,0.60,22,50,61,4.0,530
Annamalai Nagar,Town Panchayat,Cuddalore,33,1000,74,0.62,24,55,66,4.2,540
Annavasal,Town Panchayat,Pudukkottai,33,800,75,0.58,23,52,63,4.1,545
Annur,Town Panchayat,Coimbatore,33,750,70,0.65,22,45,61,4.2,540
Anthiyur,Town Panchayat,Erode,33,800,75,0.60,25,50,64,4.3,550
Anuppankulam,Census Town,Virudhunagar,31,700,70,0.62,23,47,63,4.0,530
Appakudal,Town Panchayat,Erode,32,850,75,0.63,21,58,64,4.1,535
Arachalur,Town Panchayat,Erode,33,700,72,0.65,25,55,66,4.2,540
Arakandanallur,Town Panchayat,Viluppuram,33,750,73,0.60,23,60,61,4.3,545
Arakonam (Arakkonam),Municipality,Vellore,34,900,76,0.58,24,65,63,4.1,530
Aralvaimozhi,Town Panchayat,Kanniyakumari,32,1200,80,0.70,28,70,64,4.0,520
Arani,Town Panchayat,Thiruvallur,33,950,74,0.62,20,53,63,4.3,550
Arani (Arni),Municipality,Tiruvannamalai,33,900,74,0.59,22,52,63,4.2,540
Aranthangi,Municipality,Pudukkottai,32,1000,78,0.63,25,55,64,4.4,560
Arasiramani,Town Panchayat,Salem,31,850,72,0.65,24,50,63,4.2,535
Arasur,Census Town,Coimbatore,33,900,74,0.61,23,52,64,4.1,530
Aravakurichi,Town Panchayat,Karur,33,750,71,0.64,21,45,64,4.3,545
Aravankad (Aruvankadu),Township,The Nilgiris,33,1000,77,0.60,23,68,64,4.2,540
Arcot,Municipality,Vellore,34,800,72,0.57,25,60,63,4.4,560
Arimalam,Town Panchayat,Pudukkottai,33,750,74,0.59,26,55,63,4.1,530
Ariyalur,Municipality,Ariyalur,33,1100,79,0.68,24,57,64,4.3,550
Ariyappampalayam,Town Panchayat,Erode,33,950,76,0.62,22,48,63,4.0,520
Ariyur,Census Town,Vellore,32,850,73,0.63,23,50,64,4.2,535
Arumanai,Town Panchayat,Kanniyakumari,33,800,71,0.64,24,62,66,4.1,530
Arumbanur,Census Town,Madurai,33,1000,76,0.67,22,53,64,4.2,540
Arumbavur,Town Panchayat,Perambalur,32,850,73,0.62,24,58,63,4.3,545
Arumuganeri,Town Panchayat,Thoothukkudi,33,800,72,0.65,27,60,64,4.4,560
